Lang Code	EN	PL	ES	DE	FR	JP
^text_play	Play now!	Zagraj teraz!	Jugar ahora!	Jetzt spielen!	Joue maintenant!	プレイ
^text_quit	Quit	Wyjdź	Salida	Ausgang	Quitter	退出する
^text_settings	Settings	Ustawienia	Configuración	Einstellungen	Réglages	設定
^text_with_two_params	Parameter1: {0} Parameter2: {1}	Parametr1: {0} Parametr2: {1}	Parámetro1: {0} Parámetro2: {1}	Parameter1: {0} Parameter2: {1}	Paramètre1: {0} Paramètre2: {1}	パラメーター {0} パラメーター {1}
^text_with_new_lines	Settings\nSettings	Ustawienia\nUstawienia	Configuración\nConfiguración	Einstellungen\nEinstellungen	Réglages\nRéglages	設定\n設定
^text_new_lines_and_params	Parameter1: {0}\nParameter2: {1}\nParameter3: {2}	Parametr1: {0}\nParametr2: {1}\nParametr3: {2}	Parámetro1: {0}\nParámetro2: {1}\nParámetro3: {2}	Parameter1: {0}\nParameter2: {1}\nParameter3: {2}	Paramètre1: {0}\nParamètre2: {1}\nParamètre3: {2}	パラメーター {0}\n パラメーター {1}\n パラメーター {2}
^language	LANGUAGE	JĘZYK	IDIOMA	SPRACHE	LANGUE	言語
^clickToStart	Click to Start	test	test	Toucher pour commencer	Toucher pour commencer	test
^back	back	back	back	back	Retour	Back
^soundVolume	Sound	Sound	Sound	Sound	Volume	Sound
^brightnessLevel	brightness	brightness	brightness	Luminosite	Luminosite	Luminosite	Luminosite
^Resume	Resume	Resume	Resume	Resume	Continuer	En Jap
^Quit	Quit	Quit	Quit	Quit	Quitter	Quit
^play	Play	Play	Play	Play	Jouer	Play
^level	Level	Level	Level	Level	Niveau	Level
^levels	Levels	Levels	Levels	Levels	Niveaux	Levels
^next	Next	Next	Next	Next	Suivant	Next
^retry	Retry	Retry	Retry	Retry	Recommencer	Retry
^LooseTitle	You are out of Shaan'Ma	You are out of Shaan'Ma	You are out of Shaan'Ma	You are out of Shaan'Ma	Vous n'avez plus de Shaan'ma	You are out of Shaan'Ma
^WinTitle	The Gods thank you	What a Winner	What a Winner	What a Winner	Les dieux te remercient !	What a Winner
^tuto	The forgotten gods are in danger and only you can save them by bringing them Shan'ma, the elixir of immortality. Climb the sacred mountain as quickly as possible, the Shan'ma is constantly evaporating ... \nReach your goal by combining speed and elixir collection.\nAre you ready? Let's go !	test	test	test	Les dieux oubliés sont en péril et vous seul pouvez les sauver en leur apportant du Shan'ma, l'élixir d'immortalité. Gravissez la montagne sacrée au plus vite car le Shan'ma s'évapore constamment...\nAtteignez votre objectif en alliant vitesse et collecte de l'élixir.\nVous êtes prêts ? En route !	test